poi_id,y,x,category,y_id,x_id,2D_id,count
0,35.652499999999996,139.683,-,0,0,0,-
1,35.652499999999996,139.68900000000002,-,0,1,1,-
2,35.652499999999996,139.695,-,0,2,2,-
3,35.652499999999996,139.70100000000002,-,0,3,3,-
4,35.652499999999996,139.707,-,0,4,4,-
5,35.652499999999996,139.71300000000002,-,0,5,5,-
6,35.652499999999996,139.719,-,0,6,6,-
7,35.652499999999996,139.72500000000002,-,0,7,7,-
8,35.652499999999996,139.731,-,0,8,8,-
9,35.652499999999996,139.73700000000002,-,0,9,9,-
10,35.652499999999996,139.743,-,0,10,10,-
11,35.652499999999996,139.74900000000002,-,0,11,11,-
12,35.652499999999996,139.755,-,0,12,12,-
13,35.652499999999996,139.76100000000002,-,0,13,13,-
14,35.652499999999996,139.767,-,0,14,14,-
15,35.652499999999996,139.77300000000002,-,0,15,15,-
16,35.652499999999996,139.779,-,0,16,16,-
17,35.652499999999996,139.78500000000003,-,0,17,17,-
18,35.652499999999996,139.791,-,0,18,18,-
19,35.652499999999996,139.79700000000003,-,0,19,19,-
20,35.6575,139.683,-,1,0,20,-
21,35.6575,139.68900000000002,-,1,1,21,-
22,35.6575,139.695,-,1,2,22,-
23,35.6575,139.70100000000002,-,1,3,23,-
24,35.6575,139.707,-,1,4,24,-
25,35.6575,139.71300000000002,-,1,5,25,-
26,35.6575,139.719,-,1,6,26,-
27,35.6575,139.72500000000002,-,1,7,27,-
28,35.6575,139.731,-,1,8,28,-
29,35.6575,139.73700000000002,-,1,9,29,-
30,35.6575,139.743,-,1,10,30,-
31,35.6575,139.74900000000002,-,1,11,31,-
32,35.6575,139.755,-,1,12,32,-
33,35.6575,139.76100000000002,-,1,13,33,-
34,35.6575,139.767,-,1,14,34,-
35,35.6575,139.77300000000002,-,1,15,35,-
36,35.6575,139.779,-,1,16,36,-
37,35.6575,139.78500000000003,-,1,17,37,-
38,35.6575,139.791,-,1,18,38,-
39,35.6575,139.79700000000003,-,1,19,39,-
40,35.662499999999994,139.683,-,2,0,40,-
41,35.662499999999994,139.68900000000002,-,2,1,41,-
42,35.662499999999994,139.695,-,2,2,42,-
43,35.662499999999994,139.70100000000002,-,2,3,43,-
44,35.662499999999994,139.707,-,2,4,44,-
45,35.662499999999994,139.71300000000002,-,2,5,45,-
46,35.662499999999994,139.719,-,2,6,46,-
47,35.662499999999994,139.72500000000002,-,2,7,47,-
48,35.662499999999994,139.731,-,2,8,48,-
49,35.662499999999994,139.73700000000002,-,2,9,49,-
50,35.662499999999994,139.743,-,2,10,50,-
51,35.662499999999994,139.74900000000002,-,2,11,51,-
52,35.662499999999994,139.755,-,2,12,52,-
53,35.662499999999994,139.76100000000002,-,2,13,53,-
54,35.662499999999994,139.767,-,2,14,54,-
55,35.662499999999994,139.77300000000002,-,2,15,55,-
56,35.662499999999994,139.779,-,2,16,56,-
57,35.662499999999994,139.78500000000003,-,2,17,57,-
58,35.662499999999994,139.791,-,2,18,58,-
59,35.662499999999994,139.79700000000003,-,2,19,59,-
60,35.6675,139.683,-,3,0,60,-
61,35.6675,139.68900000000002,-,3,1,61,-
62,35.6675,139.695,-,3,2,62,-
63,35.6675,139.70100000000002,-,3,3,63,-
64,35.6675,139.707,-,3,4,64,-
65,35.6675,139.71300000000002,-,3,5,65,-
66,35.6675,139.719,-,3,6,66,-
67,35.6675,139.72500000000002,-,3,7,67,-
68,35.6675,139.731,-,3,8,68,-
69,35.6675,139.73700000000002,-,3,9,69,-
70,35.6675,139.743,-,3,10,70,-
71,35.6675,139.74900000000002,-,3,11,71,-
72,35.6675,139.755,-,3,12,72,-
73,35.6675,139.76100000000002,-,3,13,73,-
74,35.6675,139.767,-,3,14,74,-
75,35.6675,139.77300000000002,-,3,15,75,-
76,35.6675,139.779,-,3,16,76,-
77,35.6675,139.78500000000003,-,3,17,77,-
78,35.6675,139.791,-,3,18,78,-
79,35.6675,139.79700000000003,-,3,19,79,-
80,35.6725,139.683,-,4,0,80,-
81,35.6725,139.68900000000002,-,4,1,81,-
82,35.6725,139.695,-,4,2,82,-
83,35.6725,139.70100000000002,-,4,3,83,-
84,35.6725,139.707,-,4,4,84,-
85,35.6725,139.71300000000002,-,4,5,85,-
86,35.6725,139.719,-,4,6,86,-
87,35.6725,139.72500000000002,-,4,7,87,-
88,35.6725,139.731,-,4,8,88,-
89,35.6725,139.73700000000002,-,4,9,89,-
90,35.6725,139.743,-,4,10,90,-
91,35.6725,139.74900000000002,-,4,11,91,-
92,35.6725,139.755,-,4,12,92,-
93,35.6725,139.76100000000002,-,4,13,93,-
94,35.6725,139.767,-,4,14,94,-
95,35.6725,139.77300000000002,-,4,15,95,-
96,35.6725,139.779,-,4,16,96,-
97,35.6725,139.78500000000003,-,4,17,97,-
98,35.6725,139.791,-,4,18,98,-
99,35.6725,139.79700000000003,-,4,19,99,-
100,35.677499999999995,139.683,-,5,0,100,-
101,35.677499999999995,139.68900000000002,-,5,1,101,-
102,35.677499999999995,139.695,-,5,2,102,-
103,35.677499999999995,139.70100000000002,-,5,3,103,-
104,35.677499999999995,139.707,-,5,4,104,-
105,35.677499999999995,139.71300000000002,-,5,5,105,-
106,35.677499999999995,139.719,-,5,6,106,-
107,35.677499999999995,139.72500000000002,-,5,7,107,-
108,35.677499999999995,139.731,-,5,8,108,-
109,35.677499999999995,139.73700000000002,-,5,9,109,-
110,35.677499999999995,139.743,-,5,10,110,-
111,35.677499999999995,139.74900000000002,-,5,11,111,-
112,35.677499999999995,139.755,-,5,12,112,-
113,35.677499999999995,139.76100000000002,-,5,13,113,-
114,35.677499999999995,139.767,-,5,14,114,-
115,35.677499999999995,139.77300000000002,-,5,15,115,-
116,35.677499999999995,139.779,-,5,16,116,-
117,35.677499999999995,139.78500000000003,-,5,17,117,-
118,35.677499999999995,139.791,-,5,18,118,-
119,35.677499999999995,139.79700000000003,-,5,19,119,-
120,35.6825,139.683,-,6,0,120,-
121,35.6825,139.68900000000002,-,6,1,121,-
122,35.6825,139.695,-,6,2,122,-
123,35.6825,139.70100000000002,-,6,3,123,-
124,35.6825,139.707,-,6,4,124,-
125,35.6825,139.71300000000002,-,6,5,125,-
126,35.6825,139.719,-,6,6,126,-
127,35.6825,139.72500000000002,-,6,7,127,-
128,35.6825,139.731,-,6,8,128,-
129,35.6825,139.73700000000002,-,6,9,129,-
130,35.6825,139.743,-,6,10,130,-
131,35.6825,139.74900000000002,-,6,11,131,-
132,35.6825,139.755,-,6,12,132,-
133,35.6825,139.76100000000002,-,6,13,133,-
134,35.6825,139.767,-,6,14,134,-
135,35.6825,139.77300000000002,-,6,15,135,-
136,35.6825,139.779,-,6,16,136,-
137,35.6825,139.78500000000003,-,6,17,137,-
138,35.6825,139.791,-,6,18,138,-
139,35.6825,139.79700000000003,-,6,19,139,-
140,35.6875,139.683,-,7,0,140,-
141,35.6875,139.68900000000002,-,7,1,141,-
142,35.6875,139.695,-,7,2,142,-
143,35.6875,139.70100000000002,-,7,3,143,-
144,35.6875,139.707,-,7,4,144,-
145,35.6875,139.71300000000002,-,7,5,145,-
146,35.6875,139.719,-,7,6,146,-
147,35.6875,139.72500000000002,-,7,7,147,-
148,35.6875,139.731,-,7,8,148,-
149,35.6875,139.73700000000002,-,7,9,149,-
150,35.6875,139.743,-,7,10,150,-
151,35.6875,139.74900000000002,-,7,11,151,-
152,35.6875,139.755,-,7,12,152,-
153,35.6875,139.76100000000002,-,7,13,153,-
154,35.6875,139.767,-,7,14,154,-
155,35.6875,139.77300000000002,-,7,15,155,-
156,35.6875,139.779,-,7,16,156,-
157,35.6875,139.78500000000003,-,7,17,157,-
158,35.6875,139.791,-,7,18,158,-
159,35.6875,139.79700000000003,-,7,19,159,-
160,35.692499999999995,139.683,-,8,0,160,-
161,35.692499999999995,139.68900000000002,-,8,1,161,-
162,35.692499999999995,139.695,-,8,2,162,-
163,35.692499999999995,139.70100000000002,-,8,3,163,-
164,35.692499999999995,139.707,-,8,4,164,-
165,35.692499999999995,139.71300000000002,-,8,5,165,-
166,35.692499999999995,139.719,-,8,6,166,-
167,35.692499999999995,139.72500000000002,-,8,7,167,-
168,35.692499999999995,139.731,-,8,8,168,-
169,35.692499999999995,139.73700000000002,-,8,9,169,-
170,35.692499999999995,139.743,-,8,10,170,-
171,35.692499999999995,139.74900000000002,-,8,11,171,-
172,35.692499999999995,139.755,-,8,12,172,-
173,35.692499999999995,139.76100000000002,-,8,13,173,-
174,35.692499999999995,139.767,-,8,14,174,-
175,35.692499999999995,139.77300000000002,-,8,15,175,-
176,35.692499999999995,139.779,-,8,16,176,-
177,35.692499999999995,139.78500000000003,-,8,17,177,-
178,35.692499999999995,139.791,-,8,18,178,-
179,35.692499999999995,139.79700000000003,-,8,19,179,-
180,35.6975,139.683,-,9,0,180,-
181,35.6975,139.68900000000002,-,9,1,181,-
182,35.6975,139.695,-,9,2,182,-
183,35.6975,139.70100000000002,-,9,3,183,-
184,35.6975,139.707,-,9,4,184,-
185,35.6975,139.71300000000002,-,9,5,185,-
186,35.6975,139.719,-,9,6,186,-
187,35.6975,139.72500000000002,-,9,7,187,-
188,35.6975,139.731,-,9,8,188,-
189,35.6975,139.73700000000002,-,9,9,189,-
190,35.6975,139.743,-,9,10,190,-
191,35.6975,139.74900000000002,-,9,11,191,-
192,35.6975,139.755,-,9,12,192,-
193,35.6975,139.76100000000002,-,9,13,193,-
194,35.6975,139.767,-,9,14,194,-
195,35.6975,139.77300000000002,-,9,15,195,-
196,35.6975,139.779,-,9,16,196,-
197,35.6975,139.78500000000003,-,9,17,197,-
198,35.6975,139.791,-,9,18,198,-
199,35.6975,139.79700000000003,-,9,19,199,-
200,35.7025,139.683,-,10,0,200,-
201,35.7025,139.68900000000002,-,10,1,201,-
202,35.7025,139.695,-,10,2,202,-
203,35.7025,139.70100000000002,-,10,3,203,-
204,35.7025,139.707,-,10,4,204,-
205,35.7025,139.71300000000002,-,10,5,205,-
206,35.7025,139.719,-,10,6,206,-
207,35.7025,139.72500000000002,-,10,7,207,-
208,35.7025,139.731,-,10,8,208,-
209,35.7025,139.73700000000002,-,10,9,209,-
210,35.7025,139.743,-,10,10,210,-
211,35.7025,139.74900000000002,-,10,11,211,-
212,35.7025,139.755,-,10,12,212,-
213,35.7025,139.76100000000002,-,10,13,213,-
214,35.7025,139.767,-,10,14,214,-
215,35.7025,139.77300000000002,-,10,15,215,-
216,35.7025,139.779,-,10,16,216,-
217,35.7025,139.78500000000003,-,10,17,217,-
218,35.7025,139.791,-,10,18,218,-
219,35.7025,139.79700000000003,-,10,19,219,-
220,35.707499999999996,139.683,-,11,0,220,-
221,35.707499999999996,139.68900000000002,-,11,1,221,-
222,35.707499999999996,139.695,-,11,2,222,-
223,35.707499999999996,139.70100000000002,-,11,3,223,-
224,35.707499999999996,139.707,-,11,4,224,-
225,35.707499999999996,139.71300000000002,-,11,5,225,-
226,35.707499999999996,139.719,-,11,6,226,-
227,35.707499999999996,139.72500000000002,-,11,7,227,-
228,35.707499999999996,139.731,-,11,8,228,-
229,35.707499999999996,139.73700000000002,-,11,9,229,-
230,35.707499999999996,139.743,-,11,10,230,-
231,35.707499999999996,139.74900000000002,-,11,11,231,-
232,35.707499999999996,139.755,-,11,12,232,-
233,35.707499999999996,139.76100000000002,-,11,13,233,-
234,35.707499999999996,139.767,-,11,14,234,-
235,35.707499999999996,139.77300000000002,-,11,15,235,-
236,35.707499999999996,139.779,-,11,16,236,-
237,35.707499999999996,139.78500000000003,-,11,17,237,-
238,35.707499999999996,139.791,-,11,18,238,-
239,35.707499999999996,139.79700000000003,-,11,19,239,-
240,35.7125,139.683,-,12,0,240,-
241,35.7125,139.68900000000002,-,12,1,241,-
242,35.7125,139.695,-,12,2,242,-
243,35.7125,139.70100000000002,-,12,3,243,-
244,35.7125,139.707,-,12,4,244,-
245,35.7125,139.71300000000002,-,12,5,245,-
246,35.7125,139.719,-,12,6,246,-
247,35.7125,139.72500000000002,-,12,7,247,-
248,35.7125,139.731,-,12,8,248,-
249,35.7125,139.73700000000002,-,12,9,249,-
250,35.7125,139.743,-,12,10,250,-
251,35.7125,139.74900000000002,-,12,11,251,-
252,35.7125,139.755,-,12,12,252,-
253,35.7125,139.76100000000002,-,12,13,253,-
254,35.7125,139.767,-,12,14,254,-
255,35.7125,139.77300000000002,-,12,15,255,-
256,35.7125,139.779,-,12,16,256,-
257,35.7125,139.78500000000003,-,12,17,257,-
258,35.7125,139.791,-,12,18,258,-
259,35.7125,139.79700000000003,-,12,19,259,-
260,35.717499999999994,139.683,-,13,0,260,-
261,35.717499999999994,139.68900000000002,-,13,1,261,-
262,35.717499999999994,139.695,-,13,2,262,-
263,35.717499999999994,139.70100000000002,-,13,3,263,-
264,35.717499999999994,139.707,-,13,4,264,-
265,35.717499999999994,139.71300000000002,-,13,5,265,-
266,35.717499999999994,139.719,-,13,6,266,-
267,35.717499999999994,139.72500000000002,-,13,7,267,-
268,35.717499999999994,139.731,-,13,8,268,-
269,35.717499999999994,139.73700000000002,-,13,9,269,-
270,35.717499999999994,139.743,-,13,10,270,-
271,35.717499999999994,139.74900000000002,-,13,11,271,-
272,35.717499999999994,139.755,-,13,12,272,-
273,35.717499999999994,139.76100000000002,-,13,13,273,-
