user,trace_no,time_slot,time_instant,poi_index,category,loglikeli
0,0,0,0,49,-,-5.687483
0,0,1,0,309,-,-11.594516
0,0,2,0,22,-,-15.386319
0,0,3,0,101,-,-20.198013
0,0,4,0,101,-,-21.080448
0,0,5,0,26,-,-27.042686
0,0,6,0,26,-,-27.045871
0,0,7,0,26,-,-27.054147
0,0,8,0,26,-,-27.070755
0,0,9,0,289,-,-32.737447
0,0,10,0,289,-,-33.300843
0,0,11,0,289,-,-33.826748
0,0,12,0,350,-,-38.577172
0,0,13,0,350,-,-38.943280
0,0,14,0,158,-,-43.606109
0,0,15,0,158,-,-44.207750
0,0,16,0,194,-,-48.481766
0,0,17,0,194,-,-49.134845
0,0,18,0,194,-,-49.940554
0,0,19,0,175,-,-53.398215
0,0,20,0,73,-,-57.145136
0,0,21,0,73,-,-57.850352
0,0,22,0,73,-,-58.519245
0,0,23,0,73,-,-59.173372
0,0,24,0,73,-,-59.784108
0,0,25,0,24,-,-64.725830
0,0,26,0,24,-,-65.367687
0,0,27,0,77,-,-71.272069
0,0,28,0,77,-,-71.625554
0,0,29,0,254,-,-78.011521
0,1,0,0,53,-,-4.716900
0,1,1,0,53,-,-4.913594
0,1,2,0,53,-,-5.101869
0,1,3,0,53,-,-5.296759
0,1,4,0,315,-,-12.400598
0,1,5,0,385,-,-18.238893
0,1,6,0,74,-,-23.526460
0,1,7,0,94,-,-27.409004
0,1,8,0,175,-,-31.033924
0,1,9,0,214,-,-34.665960
0,1,10,0,120,-,-40.758146
0,1,11,0,74,-,-46.197911
0,1,12,0,74,-,-46.956108
0,1,13,0,213,-,-52.154109
0,1,14,0,213,-,-52.943309
0,1,15,0,213,-,-53.873436
0,1,16,0,213,-,-54.699768
0,1,17,0,213,-,-55.495613
0,1,18,0,73,-,-59.282359
0,1,19,0,155,-,-63.124033
0,1,20,0,73,-,-66.876273
0,1,21,0,73,-,-67.581489
0,1,22,0,73,-,-68.250382
0,1,23,0,73,-,-68.904509
0,1,24,0,213,-,-73.783941
0,1,25,0,233,-,-77.239039
0,1,26,0,233,-,-78.030598
0,1,27,0,233,-,-78.796159
0,1,28,0,233,-,-79.554413
0,1,29,0,72,-,-83.326389
0,2,0,0,368,-,-4.955055
0,2,1,0,368,-,-5.450964
0,2,2,0,175,-,-9.111747
0,2,3,0,175,-,-9.810408
0,2,4,0,175,-,-10.457110
0,2,5,0,1,-,-16.128171
0,2,6,0,1,-,-16.606087
0,2,7,0,1,-,-17.048407
0,2,8,0,1,-,-17.453600
0,2,9,0,1,-,-17.938167
0,2,10,0,214,-,-22.088180
0,2,11,0,214,-,-22.620880
0,2,12,0,214,-,-23.218372
0,2,13,0,214,-,-23.788562
0,2,14,0,64,-,-28.845072
0,2,15,0,1,-,-33.973274
0,2,16,0,1,-,-34.417196
0,2,17,0,24,-,-39.005456
0,2,18,0,233,-,-42.800804
0,2,19,0,194,-,-47.109215
0,2,20,0,135,-,-50.901388
0,2,21,0,194,-,-55.226455
0,2,22,0,194,-,-55.936319
0,2,23,0,194,-,-56.667886
0,2,24,0,194,-,-57.444504
0,2,25,0,77,-,-63.709087
0,2,26,0,77,-,-64.333480
0,2,27,0,77,-,-64.846968
0,2,28,0,43,-,-69.111750
0,2,29,0,135,-,-72.931730
0,3,0,0,233,-,-3.606126
0,3,1,0,233,-,-4.362633
0,3,2,0,233,-,-5.091196
0,3,3,0,194,-,-9.399606
0,3,4,0,399,-,-14.395316
0,3,5,0,399,-,-15.092258
0,3,6,0,399,-,-15.852696
0,3,7,0,399,-,-16.570043
0,3,8,0,399,-,-17.306017
0,3,9,0,399,-,-17.755878
0,3,10,0,233,-,-21.569982
0,3,11,0,233,-,-22.229000
0,3,12,0,233,-,-22.970718
0,3,13,0,64,-,-27.970576
0,3,14,0,195,-,-32.391500
0,3,15,0,195,-,-32.998342
0,3,16,0,195,-,-33.712267
0,3,17,0,195,-,-34.393458
0,3,18,0,195,-,-35.047423
0,3,19,0,195,-,-35.682375
0,3,20,0,64,-,-40.617389
0,3,21,0,72,-,-44.412728
0,3,22,0,338,-,-51.142173
0,3,23,0,136,-,-56.850040
0,3,24,0,136,-,-57.240785
0,3,25,0,136,-,-57.640050
0,3,26,0,136,-,-58.069070
0,3,27,0,136,-,-58.437289
0,3,28,0,136,-,-58.830102
0,3,29,0,136,-,-59.278808
0,4,0,0,371,-,-5.232490
0,4,1,0,371,-,-5.936783
0,4,2,0,371,-,-6.549400
0,4,3,0,371,-,-7.270368
0,4,4,0,72,-,-11.202391
0,4,5,0,195,-,-15.830784
0,4,6,0,195,-,-16.606426
0,4,7,0,159,-,-22.919605
0,4,8,0,159,-,-23.076271
0,4,9,0,159,-,-24.378844
0,4,10,0,159,-,-24.535609
0,4,11,0,159,-,-24.652779
0,4,12,0,159,-,-24.947548
0,4,13,0,64,-,-30.594523
0,4,14,0,64,-,-31.257332
0,4,15,0,82,-,-37.207885
0,4,16,0,94,-,-41.012289
0,4,17,0,94,-,-41.711813
0,4,18,0,94,-,-42.343788
0,4,19,0,114,-,-48.038010
0,4,20,0,46,-,-53.934032
0,4,21,0,52,-,-60.388840
0,4,22,0,214,-,-64.250562
0,4,23,0,72,-,-68.039088
0,4,24,0,72,-,-68.632867
0,4,25,0,72,-,-69.138100
0,4,26,0,321,-,-74.982285
0,4,27,0,231,-,-80.490716
0,4,28,0,231,-,-80.987457
0,4,29,0,231,-,-81.819300
0,5,0,0,213,-,-4.863717
0,5,1,0,214,-,-8.530754
0,5,2,0,195,-,-13.271892
0,5,3,0,1,-,-17.959626
0,5,4,0,1,-,-18.340824
0,5,5,0,1,-,-18.740582
0,5,6,0,360,-,-25.663063
0,5,7,0,194,-,-31.443456
0,5,8,0,194,-,-32.176509
0,5,9,0,72,-,-35.933250
0,5,10,0,72,-,-36.382386
0,5,11,0,72,-,-36.788649
0,5,12,0,72,-,-37.303719
0,5,13,0,72,-,-37.865677
0,5,14,0,72,-,-38.338668
0,5,15,0,94,-,-42.281249
0,5,16,0,94,-,-42.965027
0,5,17,0,382,-,-49.973450
0,5,18,0,214,-,-54.786550
0,5,19,0,214,-,-55.366946
0,5,20,0,286,-,-61.444708
0,5,21,0,73,-,-65.254183
0,5,22,0,73,-,-65.923076
0,5,23,0,155,-,-69.701892
0,5,24,0,155,-,-70.424280
0,5,25,0,155,-,-71.227091
0,5,26,0,10,-,-77.391783
0,5,27,0,155,-,-80.723430
0,5,28,0,164,-,-87.181457
0,5,29,0,388,-,-92.077569
0,6,0,0,195,-,-4.263457
0,6,1,0,260,-,-10.499227
0,6,2,0,260,-,-10.728776
0,6,3,0,260,-,-10.944740
0,6,4,0,260,-,-11.204635
0,6,5,0,260,-,-11.422958
0,6,6,0,260,-,-11.766779
0,6,7,0,260,-,-12.083068
0,6,8,0,175,-,-16.340249
0,6,9,0,175,-,-17.064525
0,6,10,0,195,-,-21.499554
0,6,11,0,89,-,-27.174311
0,6,12,0,89,-,-27.566269
0,6,13,0,89,-,-28.220012
0,6,14,0,73,-,-32.683090
0,6,15,0,137,-,-38.550116
0,6,16,0,175,-,-41.947632
0,6,17,0,175,-,-42.603654
0,6,18,0,175,-,-43.273099
0,6,19,0,175,-,-43.940180
0,6,20,0,175,-,-44.650653
0,6,21,0,213,-,-49.248215
0,6,22,0,115,-,-53.753190
0,6,23,0,115,-,-54.273921
0,6,24,0,115,-,-55.003413
0,6,25,0,115,-,-55.478174
0,6,26,0,115,-,-55.995483
0,6,27,0,231,-,-61.554993
0,6,28,0,231,-,-62.051734
0,6,29,0,231,-,-62.883577
0,7,0,0,359,-,-7.957006
0,7,1,0,135,-,-11.522182
0,7,2,0,135,-,-12.116811
0,7,3,0,135,-,-12.757662
0,7,4,0,214,-,-16.411542
0,7,5,0,214,-,-16.936236
0,7,6,0,233,-,-20.756834
0,7,7,0,315,-,-27.024674
0,7,8,0,315,-,-28.424538
0,7,9,0,194,-,-33.189527
0,7,10,0,194,-,-33.949499
0,7,11,0,253,-,-39.842514
0,7,12,0,32,-,-45.355740
0,7,13,0,30,-,-51.675047
0,7,14,0,245,-,-60.339562
0,7,15,0,245,-,-60.521726
0,7,16,0,245,-,-60.623310
0,7,17,0,245,-,-60.725632
0,7,18,0,245,-,-60.872413
0,7,19,0,245,-,-61.000376
0,7,20,0,388,-,-66.930910
0,7,21,0,388,-,-67.509133
0,7,22,0,388,-,-68.127871
0,7,23,0,388,-,-68.769016
0,7,24,0,388,-,-69.357778
0,7,25,0,388,-,-69.992785
0,7,26,0,388,-,-70.636646
0,7,27,0,388,-,-71.303293
0,7,28,0,97,-,-76.625270
0,7,29,0,155,-,-80.500735
0,8,0,0,258,-,-5.452687
0,8,1,0,245,-,-13.421498
0,8,2,0,245,-,-13.826982
0,8,3,0,245,-,-14.173180
0,8,4,0,245,-,-14.305654
0,8,5,0,245,-,-14.554205
0,8,6,0,245,-,-14.664565
0,8,7,0,245,-,-14.805988
0,8,8,0,245,-,-14.929143
0,8,9,0,245,-,-15.079896
0,8,10,0,245,-,-15.265908
0,8,11,0,245,-,-15.443231
0,8,12,0,245,-,-15.543659
0,8,13,0,245,-,-15.741193
0,8,14,0,245,-,-15.920230
0,8,15,0,245,-,-16.102394
0,8,16,0,245,-,-16.203978
0,8,17,0,245,-,-16.306300
0,8,18,0,245,-,-16.453081
0,8,19,0,245,-,-16.581044
0,8,20,0,186,-,-22.743249
0,8,21,0,399,-,-28.209956
0,8,22,0,399,-,-28.954364
0,8,23,0,399,-,-29.725282
0,8,24,0,399,-,-30.566175
0,8,25,0,399,-,-31.287556
0,8,26,0,399,-,-31.865978
0,8,27,0,194,-,-36.471080
0,8,28,0,194,-,-37.229043
0,8,29,0,72,-,-40.985784
0,9,0,0,284,-,-4.994248
0,9,1,0,95,-,-10.721359
0,9,2,0,213,-,-15.055494
0,9,3,0,213,-,-15.921325
0,9,4,0,43,-,-19.260160
0,9,5,0,43,-,-19.942893
0,9,6,0,43,-,-20.640759
0,9,7,0,43,-,-21.339182
0,9,8,0,43,-,-22.017095
0,9,9,0,43,-,-22.600867
0,9,10,0,72,-,-26.384340
0,9,11,0,399,-,-31.790351
0,9,12,0,399,-,-32.457611
0,9,13,0,399,-,-33.094983
0,9,14,0,233,-,-36.554382
0,9,15,0,246,-,-42.615741
0,9,16,0,246,-,-43.184666
0,9,17,0,175,-,-46.952853
0,9,18,0,232,-,-51.596150
0,9,19,0,232,-,-52.246983
0,9,20,0,24,-,-57.248668
0,9,21,0,135,-,-61.114830
0,9,22,0,135,-,-61.743936
0,9,23,0,71,-,-66.853017
0,9,24,0,234,-,-72.158495
0,9,25,0,234,-,-72.885671
0,9,26,0,234,-,-73.662593
0,9,27,0,290,-,-79.354262
0,9,28,0,253,-,-86.213735
0,9,29,0,253,-,-86.648425
1,0,0,0,249,-,-4.936107
1,0,1,0,249,-,-5.513767
1,0,2,0,249,-,-6.006042
1,0,3,0,249,-,-6.696328
1,0,4,0,249,-,-7.153011
1,0,5,0,53,-,-11.312719
1,0,6,0,53,-,-11.441766
1,0,7,0,53,-,-11.547326
1,0,8,0,53,-,-12.602108
1,0,9,0,235,-,-19.432651
1,0,10,0,235,-,-20.358183
1,0,11,0,235,-,-21.375444
1,0,12,0,253,-,-26.844611
1,0,13,0,303,-,-33.003665
1,0,14,0,124,-,-37.676928
1,0,15,0,124,-,-38.489657
1,0,16,0,271,-,-42.574154
1,0,17,0,271,-,-42.928010
1,0,18,0,271,-,-43.195839
1,0,19,0,271,-,-43.655084
1,0,20,0,271,-,-43.841636
1,0,21,0,271,-,-44.931545
1,0,22,0,291,-,-50.542291
1,0,23,0,291,-,-50.604962
1,0,24,0,291,-,-50.677373
1,0,25,0,291,-,-50.725602
1,0,26,0,318,-,-56.455462
1,0,27,0,373,-,-61.995701
1,0,28,0,373,-,-62.045568
1,0,29,0,170,-,-68.973242
1,1,0,0,262,-,-5.279733
1,1,1,0,262,-,-5.952205
1,1,2,0,262,-,-6.125110
1,1,3,0,262,-,-7.026265
1,1,4,0,262,-,-7.121481
1,1,5,0,262,-,-7.823273
1,1,6,0,262,-,-8.491447
1,1,7,0,262,-,-9.109610
1,1,8,0,262,-,-9.630190
1,1,9,0,262,-,-10.190134
1,1,10,0,262,-,-10.835134
1,1,11,0,262,-,-11.772566
1,1,12,0,6,-,-17.109574
1,1,13,0,6,-,-17.662040
1,1,14,0,135,-,-22.792664
1,1,15,0,135,-,-23.228073
1,1,16,0,64,-,-28.534884
