user,trace_no,time_slot,time_instant,poi_index,category,loglikeli
0,0,0,0,44,-,-4.239052
0,0,1,0,370,-,-10.096268
0,0,2,0,29,-,-16.798021
0,0,3,0,29,-,-17.389669
0,0,4,0,29,-,-18.112313
0,0,5,0,29,-,-18.375877
0,0,6,0,195,-,-23.247295
0,0,7,0,195,-,-23.695382
0,0,8,0,195,-,-24.200902
0,0,9,0,232,-,-29.737556
0,0,10,0,232,-,-30.405283
0,0,11,0,232,-,-31.088224
0,0,12,0,264,-,-35.806583
0,0,13,0,231,-,-40.230246
0,0,14,0,231,-,-40.644338
0,0,15,0,231,-,-41.202711
0,0,16,0,231,-,-41.712960
0,0,17,0,231,-,-42.233404
0,0,18,0,231,-,-42.686698
0,0,19,0,231,-,-43.122026
0,0,20,0,64,-,-47.286020
0,0,21,0,64,-,-47.945701
0,0,22,0,64,-,-48.634445
0,0,23,0,52,-,-54.305356
0,0,24,0,52,-,-54.917167
0,0,25,0,23,-,-59.152922
0,0,26,0,23,-,-59.652744
0,0,27,0,43,-,-63.230010
0,0,28,0,43,-,-63.828501
0,0,29,0,271,-,-69.405087
0,1,0,0,45,-,-3.477379
0,1,1,0,45,-,-4.070747
0,1,2,0,45,-,-4.644066
0,1,3,0,45,-,-5.207752
0,1,4,0,338,-,-11.056204
0,1,5,0,384,-,-16.130534
0,1,6,0,82,-,-20.691609
0,1,7,0,82,-,-21.474003
0,1,8,0,213,-,-25.647571
0,1,9,0,214,-,-29.206776
0,1,10,0,67,-,-35.393091
0,1,11,0,45,-,-39.011476
0,1,12,0,45,-,-39.612288
0,1,13,0,232,-,-43.283335
0,1,14,0,232,-,-43.988547
0,1,15,0,232,-,-44.668431
0,1,16,0,232,-,-45.364031
0,1,17,0,232,-,-46.024139
0,1,18,0,45,-,-49.524473
0,1,19,0,155,-,-54.745681
0,1,20,0,134,-,-59.583602
0,1,21,0,87,-,-64.704154
0,1,22,0,64,-,-68.615147
0,1,23,0,64,-,-69.273022
0,1,24,0,214,-,-72.733560
0,1,25,0,231,-,-77.099589
0,1,26,0,231,-,-77.634420
0,1,27,0,231,-,-78.135867
0,1,28,0,231,-,-78.542723
0,1,29,0,46,-,-82.609110
0,2,0,0,362,-,-6.308386
0,2,1,0,362,-,-6.356640
0,2,2,0,362,-,-6.440951
0,2,3,0,362,-,-6.513072
0,2,4,0,362,-,-6.587438
0,2,5,0,45,-,-12.894511
0,2,6,0,43,-,-16.050527
0,2,7,0,43,-,-16.630125
0,2,8,0,43,-,-17.254206
0,2,9,0,43,-,-17.854327
0,2,10,0,233,-,-21.341941
0,2,11,0,233,-,-21.951534
0,2,12,0,233,-,-22.548895
0,2,13,0,233,-,-23.169689
0,2,14,0,43,-,-26.304719
0,2,15,0,23,-,-30.673248
0,2,16,0,23,-,-31.063127
0,2,17,0,43,-,-34.663364
0,2,18,0,233,-,-38.325619
0,2,19,0,231,-,-42.687668
0,2,20,0,213,-,-47.522729
0,2,21,0,213,-,-47.998119
0,2,22,0,213,-,-48.531312
0,2,23,0,213,-,-49.075467
0,2,24,0,213,-,-49.710741
0,2,25,0,64,-,-53.778763
0,2,26,0,64,-,-54.455515
0,2,27,0,64,-,-55.119366
0,2,28,0,43,-,-58.266634
0,2,29,0,65,-,-62.831019
0,3,0,0,233,-,-3.389703
0,3,1,0,233,-,-4.012598
0,3,2,0,233,-,-4.594678
0,3,3,0,231,-,-8.956727
0,3,4,0,373,-,-14.592146
0,3,5,0,373,-,-14.935303
0,3,6,0,373,-,-15.560986
0,3,7,0,373,-,-16.025097
0,3,8,0,373,-,-16.452989
0,3,9,0,373,-,-16.949734
0,3,10,0,373,-,-17.411507
0,3,11,0,373,-,-17.872176
0,3,12,0,373,-,-18.350693
0,3,13,0,52,-,-24.486934
0,3,14,0,212,-,-29.884322
0,3,15,0,212,-,-30.661373
0,3,16,0,212,-,-32.102112
0,3,17,0,212,-,-32.852280
0,3,18,0,232,-,-36.331625
0,3,19,0,231,-,-40.669171
0,3,20,0,46,-,-44.702989
0,3,21,0,46,-,-45.349947
0,3,22,0,316,-,-51.854402
0,3,23,0,214,-,-56.747199
0,3,24,0,212,-,-61.698834
0,3,25,0,212,-,-62.510917
0,3,26,0,212,-,-63.268750
0,3,27,0,212,-,-64.111913
0,3,28,0,212,-,-64.566180
0,3,29,0,212,-,-65.288542
0,4,0,0,370,-,-5.363241
0,4,1,0,370,-,-5.902218
0,4,2,0,370,-,-6.500512
