user_index,poi_index,category,unixtime,dow,hour,min,distance
500,324,-,1387670448.0,Sun,9,0,0
500,324,-,1387671648.0,Sun,9,20,0
500,324,-,1387672849.0,Sun,9,40,0
500,324,-,1387674050.0,Sun,10,0,0
500,324,-,1387675250.0,Sun,10,20,0
500,324,-,1387676451.0,Sun,10,40,0
500,324,-,1387677652.0,Sun,11,0,0
500,324,-,1387678852.0,Sun,11,20,0
500,324,-,1387680053.0,Sun,11,40,0
500,324,-,1387681253.0,Sun,12,0,0
500,324,-,1387682454.0,Sun,12,20,0
500,324,-,1387683655.0,Sun,12,40,0
500,324,-,1387684855.0,Sun,13,0,0
500,324,-,1387686056.0,Sun,13,20,0
500,324,-,1387687257.0,Sun,13,40,0
500,324,-,1387688457.0,Sun,14,0,0
500,324,-,1387689658.0,Sun,14,20,0
500,324,-,1387690859.0,Sun,14,40,0
500,324,-,1387692059.0,Sun,15,0,0
500,324,-,1387693200.0,Sun,15,20,0
500,324,-,1387694401.0,Sun,15,40,0
500,324,-,1387695601.0,Sun,16,0,0
500,324,-,1387696802.0,Sun,16,20,0
500,324,-,1387698003.0,Sun,16,40,0
500,324,-,1387699203.0,Sun,17,0,0
500,324,-,1387700404.0,Sun,17,20,0
500,324,-,1387701605.0,Sun,17,40,0
500,324,-,1387702805.0,Sun,18,0,0
500,324,-,1387704006.0,Sun,18,20,0
500,324,-,1387705206.0,Sun,18,40,0
501,164,-,1387152028.0,Mon,9,0,0
501,164,-,1387153229.0,Mon,9,20,0
501,164,-,1387154430.0,Mon,9,40,0
501,164,-,1387155630.0,Mon,10,0,0
501,164,-,1387156831.0,Mon,10,20,0
501,164,-,1387158031.0,Mon,10,40,0
501,164,-,1387159232.0,Mon,11,0,0
501,164,-,1387160433.0,Mon,11,20,0
501,165,-,1387161633.0,Mon,11,40,0
501,165,-,1387162834.0,Mon,12,0,0
501,165,-,1387164035.0,Mon,12,20,0
501,165,-,1387165235.0,Mon,12,40,0
501,165,-,1387166436.0,Mon,13,0,0
501,165,-,1387167636.0,Mon,13,20,0
501,165,-,1387168837.0,Mon,13,40,0
501,165,-,1387170038.0,Mon,14,0,0
501,165,-,1387171238.0,Mon,14,20,0
501,165,-,1387172439.0,Mon,14,40,0
501,165,-,1387173640.0,Mon,15,0,0
501,165,-,1387174840.0,Mon,15,20,0
501,165,-,1387176041.0,Mon,15,40,0
501,165,-,1387177241.0,Mon,16,0,0
501,165,-,1387178442.0,Mon,16,20,0
501,165,-,1387179643.0,Mon,16,40,0
501,165,-,1387180843.0,Mon,17,0,0
501,165,-,1387182044.0,Mon,17,20,0
501,165,-,1387183244.0,Mon,17,40,0
501,166,-,1387184445.0,Mon,18,0,0
501,166,-,1387185646.0,Mon,18,20,0
501,166,-,1387186846.0,Mon,18,40,0
502,276,-,1381104039.0,Mon,9,0,0
502,276,-,1381105241.0,Mon,9,20,0
502,277,-,1381106442.0,Mon,9,40,0
502,277,-,1381107643.0,Mon,10,0,0
502,277,-,1381108844.0,Mon,10,20,0
502,277,-,1381110046.0,Mon,10,40,0
502,277,-,1381111247.0,Mon,11,0,0
502,277,-,1381112448.0,Mon,11,20,0
502,277,-,1381113649.0,Mon,11,40,0
502,278,-,1381114851.0,Mon,12,0,0
502,278,-,1381116052.0,Mon,12,20,0
502,278,-,1381117253.0,Mon,12,40,0
502,278,-,1381118454.0,Mon,13,0,0
502,278,-,1381119656.0,Mon,13,20,0
502,278,-,1381120857.0,Mon,13,40,0
502,278,-,1381122058.0,Mon,14,0,0
502,108,-,1387171218.0,Mon,14,20,0
502,108,-,1387172418.0,Mon,14,40,0
502,109,-,1387173618.0,Mon,15,0,0
502,109,-,1387174818.0,Mon,15,20,0
502,109,-,1387176018.0,Mon,15,40,0
502,109,-,1387177218.0,Mon,16,0,0
502,109,-,1387178418.0,Mon,16,20,0
502,110,-,1387179618.0,Mon,16,40,0
502,110,-,1387180818.0,Mon,17,0,0
502,110,-,1387182018.0,Mon,17,20,0
502,110,-,1387183218.0,Mon,17,40,0
502,111,-,1387184418.0,Mon,18,0,0
502,111,-,1387185618.0,Mon,18,20,0
502,111,-,1387186818.0,Mon,18,40,0
503,235,-,1381104037.0,Mon,9,0,0
503,235,-,1381105237.0,Mon,9,20,0
503,235,-,1381106437.0,Mon,9,40,0
503,235,-,1381107637.0,Mon,10,0,0
503,234,-,1381108838.0,Mon,10,20,0
503,234,-,1381110038.0,Mon,10,40,0
503,234,-,1381111238.0,Mon,11,0,0
503,234,-,1381112438.0,Mon,11,20,0
503,234,-,1381113638.0,Mon,11,40,0
503,234,-,1381114838.0,Mon,12,0,0
503,233,-,1381116039.0,Mon,12,20,0
503,233,-,1381117239.0,Mon,12,40,0
503,233,-,1381118439.0,Mon,13,0,0
503,233,-,1381119639.0,Mon,13,20,0
503,233,-,1381120839.0,Mon,13,40,0
503,232,-,1381122039.0,Mon,14,0,0
503,232,-,1381123240.0,Mon,14,20,0
503,232,-,1381124440.0,Mon,14,40,0
503,232,-,1381125640.0,Mon,15,0,0
503,232,-,1381126840.0,Mon,15,20,0
503,232,-,1381128040.0,Mon,15,40,0
503,231,-,1381129240.0,Mon,16,0,0
503,231,-,1381130440.0,Mon,16,20,0
503,231,-,1381131641.0,Mon,16,40,0
503,231,-,1381132841.0,Mon,17,0,0
503,231,-,1381134041.0,Mon,17,20,0
503,231,-,1381135241.0,Mon,17,40,0
503,230,-,1381136441.0,Mon,18,0,0
503,230,-,1381137641.0,Mon,18,20,0
503,230,-,1381138842.0,Mon,18,40,0
504,23,-,1381104051.0,Mon,9,0,0
504,23,-,1381105252.0,Mon,9,20,0
504,23,-,1381106453.0,Mon,9,40,0
504,23,-,1381107654.0,Mon,10,0,0
504,23,-,1381108855.0,Mon,10,20,0
504,43,-,1381110056.0,Mon,10,40,0
504,43,-,1381111257.0,Mon,11,0,0
504,43,-,1381112458.0,Mon,11,20,0
504,43,-,1381113659.0,Mon,11,40,0
504,43,-,1381114800.0,Mon,12,0,0
504,43,-,1381116001.0,Mon,12,20,0
504,43,-,1381117202.0,Mon,12,40,0
504,43,-,1381118403.0,Mon,13,0,0
504,43,-,1381119604.0,Mon,13,20,0
504,43,-,1381120805.0,Mon,13,40,0
504,63,-,1381122006.0,Mon,14,0,0
504,63,-,1381123207.0,Mon,14,20,0
504,63,-,1381124408.0,Mon,14,40,0
504,63,-,1381125609.0,Mon,15,0,0
504,64,-,1381126810.0,Mon,15,20,0
504,64,-,1381128011.0,Mon,15,40,0
504,64,-,1381129212.0,Mon,16,0,0
504,64,-,1381130413.0,Mon,16,20,0
504,64,-,1381131614.0,Mon,16,40,0
504,64,-,1381132815.0,Mon,17,0,0
504,64,-,1381134016.0,Mon,17,20,0
504,64,-,1381135217.0,Mon,17,40,0
504,84,-,1381136418.0,Mon,18,0,0
504,84,-,1381137619.0,Mon,18,20,0
504,84,-,1381138820.0,Mon,18,40,0
