user_index,poi_index,category,unixtime,dow,hour,min,distance
0,195,-,1373155253.0,Sun,9,0,0
0,195,-,1373156454.0,Sun,9,20,0
0,194,-,1373157654.0,Sun,9,40,0
0,194,-,1373158855.0,Sun,10,0,0
0,194,-,1373160055.0,Sun,10,20,0
0,214,-,1373161256.0,Sun,10,40,0
0,214,-,1373162456.0,Sun,11,0,0
0,214,-,1373163657.0,Sun,11,20,0
0,214,-,1373164857.0,Sun,11,40,0
0,214,-,1373166058.0,Sun,12,0,0
0,214,-,1373167258.0,Sun,12,20,0
0,214,-,1373168459.0,Sun,12,40,0
0,214,-,1373169659.0,Sun,13,0,0
0,214,-,1373170800.0,Sun,13,20,0
0,214,-,1373172000.0,Sun,13,40,0
0,213,-,1373173201.0,Sun,14,0,0
0,213,-,1373174401.0,Sun,14,20,0
0,213,-,1373175602.0,Sun,14,40,0
0,213,-,1373176803.0,Sun,15,0,0
0,213,-,1373178003.0,Sun,15,20,0
0,213,-,1373179204.0,Sun,15,40,0
0,233,-,1373180404.0,Sun,16,0,0
0,233,-,1373181605.0,Sun,16,20,0
0,233,-,1373182805.0,Sun,16,40,0
0,233,-,1373184006.0,Sun,17,0,0
0,233,-,1373185206.0,Sun,17,20,0
0,233,-,1373186407.0,Sun,17,40,0
0,233,-,1373187607.0,Sun,18,0,0
0,233,-,1373188808.0,Sun,18,20,0
0,233,-,1373190008.0,Sun,18,40,0
1,292,-,1381104046.0,Mon,9,0,0
1,292,-,1381105246.0,Mon,9,20,0
1,292,-,1381106447.0,Mon,9,40,0
1,292,-,1381107648.0,Mon,10,0,0
1,292,-,1381108849.0,Mon,10,20,0
1,292,-,1381110050.0,Mon,10,40,0
1,292,-,1381111250.0,Mon,11,0,0
1,292,-,1381112451.0,Mon,11,20,0
1,292,-,1381113652.0,Mon,11,40,0
1,292,-,1381114853.0,Mon,12,0,0
1,292,-,1381116054.0,Mon,12,20,0
1,292,-,1381117254.0,Mon,12,40,0
1,292,-,1381118455.0,Mon,13,0,0
1,292,-,1381119656.0,Mon,13,20,0
1,292,-,1381120857.0,Mon,13,40,0
1,292,-,1381122058.0,Mon,14,0,0
1,292,-,1381123258.0,Mon,14,20,0
1,292,-,1381124459.0,Mon,14,40,0
1,292,-,1381125600.0,Mon,15,0,0
1,292,-,1381126801.0,Mon,15,20,0
1,292,-,1381128002.0,Mon,15,40,0
1,292,-,1381129202.0,Mon,16,0,0
1,292,-,1381130403.0,Mon,16,20,0
1,292,-,1381131604.0,Mon,16,40,0
1,292,-,1381132805.0,Mon,17,0,0
1,292,-,1381134006.0,Mon,17,20,0
1,292,-,1381135206.0,Mon,17,40,0
1,292,-,1381136407.0,Mon,18,0,0
1,292,-,1381137608.0,Mon,18,20,0
1,292,-,1381138809.0,Mon,18,40,0
2,344,-,1373155215.0,Sun,9,0,0
2,364,-,1373156415.0,Sun,9,20,0
2,364,-,1373157616.0,Sun,9,40,0
2,364,-,1373158817.0,Sun,10,0,0
2,364,-,1373160017.0,Sun,10,20,0
2,364,-,1373161218.0,Sun,10,40,0
2,364,-,1373162418.0,Sun,11,0,0
2,344,-,1373163619.0,Sun,11,20,0
2,344,-,1373164819.0,Sun,11,40,0
2,344,-,1373166020.0,Sun,12,0,0
2,344,-,1373167221.0,Sun,12,20,0
2,345,-,1373168421.0,Sun,12,40,0
2,345,-,1373169622.0,Sun,13,0,0
2,345,-,1373170822.0,Sun,13,20,0
2,345,-,1373172023.0,Sun,13,40,0
2,345,-,1373173224.0,Sun,14,0,0
2,345,-,1373174424.0,Sun,14,20,0
2,345,-,1373175625.0,Sun,14,40,0
2,345,-,1373176825.0,Sun,15,0,0
2,345,-,1373178026.0,Sun,15,20,0
2,345,-,1373179227.0,Sun,15,40,0
2,345,-,1373180427.0,Sun,16,0,0
2,345,-,1373181628.0,Sun,16,20,0
2,325,-,1373182828.0,Sun,16,40,0
2,325,-,1373184029.0,Sun,17,0,0
2,325,-,1373185230.0,Sun,17,20,0
2,326,-,1373186430.0,Sun,17,40,0
2,326,-,1373187631.0,Sun,18,0,0
2,326,-,1373188831.0,Sun,18,20,0
2,326,-,1373190032.0,Sun,18,40,0
3,368,-,1381104022.0,Mon,9,0,0
3,368,-,1381105223.0,Mon,9,20,0
3,348,-,1381106424.0,Mon,9,40,0
3,348,-,1381107625.0,Mon,10,0,0
3,349,-,1381108825.0,Mon,10,20,0
3,349,-,1381110026.0,Mon,10,40,0
3,329,-,1381111227.0,Mon,11,0,0
3,329,-,1381112428.0,Mon,11,20,0
3,330,-,1381113629.0,Mon,11,40,0
3,310,-,1381114830.0,Mon,12,0,0
3,310,-,1381116030.0,Mon,12,20,0
3,310,-,1381117231.0,Mon,12,40,0
