user_index,poi_index_from,time_slot,count,prob
0,194,2,1,1.0
0,194,3,1,1.0
0,194,4,1,1.0
0,195,0,1,1.0
0,195,1,1,1.0
0,213,15,1,1.0
0,213,16,1,1.0
0,213,17,1,1.0
0,213,18,1,1.0
0,213,19,1,1.0
0,213,20,1,1.0
0,214,5,1,1.0
0,214,6,1,1.0
0,214,7,1,1.0
0,214,8,1,1.0
0,214,9,1,1.0
0,214,10,1,1.0
0,214,11,1,1.0
0,214,12,1,1.0
0,214,13,1,1.0
0,214,14,1,1.0
0,233,21,1,1.0
0,233,22,1,1.0
0,233,23,1,1.0
0,233,24,1,1.0
0,233,25,1,1.0
0,233,26,1,1.0
0,233,27,1,1.0
0,233,28,1,1.0
0,233,29,1,1.0
1,292,0,1,1.0
1,292,1,1,1.0
1,292,2,1,1.0
1,292,3,1,1.0
1,292,4,1,1.0
1,292,5,1,1.0
1,292,6,1,1.0
1,292,7,1,1.0
1,292,8,1,1.0
1,292,9,1,1.0
1,292,10,1,1.0
1,292,11,1,1.0
1,292,12,1,1.0
1,292,13,1,1.0
1,292,14,1,1.0
1,292,15,1,1.0
1,292,16,1,1.0
1,292,17,1,1.0
1,292,18,1,1.0
1,292,19,1,1.0
1,292,20,1,1.0
1,292,21,1,1.0
1,292,22,1,1.0
1,292,23,1,1.0
1,292,24,1,1.0
1,292,25,1,1.0
1,292,26,1,1.0
1,292,27,1,1.0
1,292,28,1,1.0
1,292,29,1,1.0
2,325,23,1,1.0
2,325,24,1,1.0
2,325,25,1,1.0
2,326,26,1,1.0
2,326,27,1,1.0
2,326,28,1,1.0
2,326,29,1,1.0
2,344,0,1,1.0
2,344,7,1,1.0
2,344,8,1,1.0
2,344,9,1,1.0
2,344,10,1,1.0
2,345,11,1,1.0
2,345,12,1,1.0
2,345,13,1,1.0
2,345,14,1,1.0
2,345,15,1,1.0
2,345,16,1,1.0
2,345,17,1,1.0
2,345,18,1,1.0
2,345,19,1,1.0
2,345,20,1,1.0
2,345,21,1,1.0
2,345,22,1,1.0
2,364,1,1,1.0
2,364,2,1,1.0
2,364,3,1,1.0
2,364,4,1,1.0
2,364,5,1,1.0
2,364,6,1,1.0
3,213,26,1,1.0
3,214,27,1,1.0
3,214,28,1,1.0
3,214,29,1,1.0
3,233,23,1,1.0
3,233,24,1,1.0
3,233,25,1,1.0
3,253,20,1,1.0
3,253,21,1,1.0
3,253,22,1,1.0
3,272,17,1,1.0
3,272,18,1,1.0
3,272,19,1,1.0
3,291,13,1,1.0
3,291,14,1,1.0
3,292,15,1,1.0
3,292,16,1,1.0
3,310,9,1,1.0
3,310,10,1,1.0
3,310,11,1,1.0
3,311,12,1,1.0
3,329,6,1,1.0
3,329,7,1,1.0
3,330,8,1,1.0
3,348,2,1,1.0
3,348,3,1,1.0
3,349,4,1,1.0
3,349,5,1,1.0
3,368,0,1,1.0
3,368,1,1,1.0
4,163,0,1,1.0
4,163,1,1,1.0
4,163,2,1,1.0
4,163,3,1,1.0
4,163,4,1,1.0
4,163,5,1,1.0
4,163,6,1,1.0
4,163,7,1,1.0
4,163,8,1,1.0
4,163,9,1,1.0
4,163,10,1,1.0
4,163,11,1,1.0
4,163,12,1,1.0
4,163,13,1,1.0
4,163,14,1,1.0
4,163,15,1,1.0
4,163,16,1,1.0
4,163,17,1,1.0
4,163,18,1,1.0
4,163,19,1,1.0
4,163,20,1,1.0
4,163,21,1,1.0
4,163,22,1,1.0
4,163,23,1,1.0
4,163,24,1,1.0
4,163,25,1,1.0
4,163,26,1,1.0
4,163,27,1,1.0
4,163,28,1,1.0
4,163,29,1,1.0
5,245,0,1,1.0
5,265,1,1,1.0
5,265,2,1,1.0
5,265,3,1,1.0
5,265,4,1,1.0
5,265,5,1,1.0
5,266,6,1,1.0
5,266,7,1,1.0
5,266,8,1,1.0
5,267,9,1,1.0
5,267,10,1,1.0
5,267,11,1,1.0
5,267,12,1,1.0
5,288,13,1,1.0
5,288,14,1,1.0
5,288,15,1,1.0
5,288,16,1,1.0
5,289,17,1,1.0
5,289,18,1,1.0
5,289,19,1,1.0
5,309,20,1,1.0
5,310,21,1,1.0
5,310,22,1,1.0
5,310,23,1,1.0
5,310,24,1,1.0
5,311,25,1,1.0
5,331,26,1,1.0
5,331,27,1,1.0
5,331,28,1,1.0
5,331,29,1,1.0
6,43,27,1,1.0
6,43,28,1,1.0
6,43,29,1,1.0
6,63,24,1,1.0
6,63,25,1,1.0
6,63,26,1,1.0
6,64,19,1,1.0
6,64,20,1,1.0
6,64,21,1,1.0
6,64,22,1,1.0
6,64,23,1,1.0
6,84,12,1,1.0
6,84,13,1,1.0
6,84,14,1,1.0
6,84,15,1,1.0
6,84,16,1,1.0
6,84,17,1,1.0
6,84,18,1,1.0
6,104,5,1,1.0
6,104,6,1,1.0
6,104,7,1,1.0
6,104,8,1,1.0
6,104,9,1,1.0
6,104,10,1,1.0
6,104,11,1,1.0
6,124,0,1,1.0
6,124,1,1,1.0
6,124,2,1,1.0
6,124,3,1,1.0
6,124,4,1,1.0
7,143,25,1,1.0
7,164,23,1,1.0
7,164,24,1,1.0
7,165,21,1,1.0
7,165,22,1,1.0
7,166,19,1,1.0
7,166,20,1,1.0
7,167,17,1,1.0
7,167,18,1,1.0
7,168,15,1,1.0
7,168,16,1,1.0
7,169,13,1,1.0
7,169,14,1,1.0
7,170,11,1,1.0
7,170,12,1,1.0
7,171,10,1,1.0
7,173,5,1,1.0
7,174,4,1,1.0
7,191,9,1,1.0
7,192,7,1,1.0
7,192,8,1,1.0
7,193,6,1,1.0
7,194,3,1,1.0
7,195,0,1,1.0
7,195,1,1,1.0
7,195,2,1,1.0
7,305,26,1,1.0
7,305,27,1,1.0
7,305,28,1,1.0
7,305,29,1,1.0
8,161,15,1,1.0
8,161,16,1,1.0
8,162,17,1,1.0
8,162,18,1,1.0
8,162,19,1,1.0
8,162,20,1,1.0
8,162,21,1,1.0
8,162,22,1,1.0
8,162,23,1,1.0
8,162,24,1,1.0
8,162,25,1,1.0
8,162,26,1,1.0
8,162,27,1,1.0
8,163,28,1,1.0
8,163,29,1,1.0
8,180,0,1,1.0
8,180,1,1,1.0
8,180,2,1,1.0
8,180,3,1,1.0
8,180,4,1,1.0
8,180,5,1,1.0
8,181,6,1,1.0
8,181,7,1,1.0
8,181,8,1,1.0
8,181,9,1,1.0
8,181,10,1,1.0
8,181,11,1,1.0
8,181,12,1,1.0
8,181,13,1,1.0
8,181,14,1,1.0
9,274,0,1,1.0
9,274,1,1,1.0
9,274,2,1,1.0
9,274,3,1,1.0
9,274,4,1,1.0
9,274,5,1,1.0
9,274,6,1,1.0
9,274,7,1,1.0
9,274,8,1,1.0
9,274,9,1,1.0
9,274,10,1,1.0
9,274,11,1,1.0
9,274,12,1,1.0
9,274,13,1,1.0
9,274,14,1,1.0
9,274,15,1,1.0
9,274,16,1,1.0
9,274,17,1,1.0
9,274,18,1,1.0
9,274,19,1,1.0
9,274,20,1,1.0
9,274,21,1,1.0
9,274,22,1,1.0
9,274,23,1,1.0
9,274,24,1,1.0
9,274,25,1,1.0
9,274,26,1,1.0
9,274,27,1,1.0
9,274,28,1,1.0
9,274,29,1,1.0
10,322,16,1,1.0
10,322,17,1,1.0
10,322,18,1,1.0
10,322,19,1,1.0
10,322,20,1,1.0
10,322,21,1,1.0
10,322,22,1,1.0
10,323,23,1,1.0
10,323,24,1,1.0
10,323,25,1,1.0
10,323,26,1,1.0
10,323,27,1,1.0
