tracedir, tracefile, reid_rate, MIA_acc, MIA_adv, -, TP-TV_syn, TP-TV_tra, TP-TV_uni, -, TP-TV-Top50_syn, TP-TV-Top50_tra, TP-TV-Top50_uni, -, VF-TV_syn, VF-TV_tra, VF-TV_uni, -, TM-EMD-Y_syn, TM-EMD-X_syn, TM-EMD-Y_tra, TM-EMD-X_tra, TM-EMD-Y_uni, TM-EMD-X_uni
PPMTF_TK_alp0.5_mnt100_mnv100,syntraces_Itr100.csv,0.0026,0.5055,0.011,-,0.533493333,0.385533333,0.534933333,-,0.163216667,0.115033333,0.1945,-,-,-,-,-,2.292509161,2.391231347,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp0.6_mnt100_mnv100,syntraces_Itr100.csv,0.004,0.5031,0.0062,-,0.526413333,0.385533333,0.534933333,-,0.165186667,0.115033333,0.1945,-,-,-,-,-,2.281773423,2.413105756,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp0.7_mnt100_mnv100,syntraces_Itr100.csv,0.0024,0.504,0.008,-,0.498206667,0.385533333,0.534933333,-,0.149103333,0.115033333,0.1945,-,-,-,-,-,2.33015603,2.396064478,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp0.8_mnt100_mnv100,syntraces_Itr100.csv,0.0022,0.5018,0.0036,-,0.503833333,0.385533333,0.534933333,-,0.151066667,0.115033333,0.1945,-,-,-,-,-,2.329224674,2.501939889,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp0.9_mnt100_mnv100,syntraces_Itr100.csv,0.0044,0.5068,0.0136,-,0.490566667,0.385533333,0.534933333,-,0.144676667,0.115033333,0.1945,-,-,-,-,-,2.129725481,2.313541087,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp1_mnt100_mnv100,syntraces_Itr100.csv,0.0048,0.5028,0.0056,-,0.482313333,0.385533333,0.534933333,-,0.14165,0.115033333,0.1945,-,-,-,-,-,2.050779556,2.162390356,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp2_mnt100_mnv100,syntraces_Itr100.csv,0.0078,0.503,0.006,-,0.470053333,0.385533333,0.534933333,-,0.142453333,0.115033333,0.1945,-,-,-,-,-,1.790784882,1.89547482,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp10_mnt100_mnv100,syntraces_Itr100.csv,0.0114,0.5112,0.0224,-,0.447726667,0.385533333,0.534933333,-,0.135913333,0.115033333,0.1945,-,-,-,-,-,2.08456188,2.133784142,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp20_mnt100_mnv100,syntraces_Itr100.csv,0.0152,0.5164,0.0328,-,0.441266667,0.385533333,0.534933333,-,0.131756667,0.115033333,0.1945,-,-,-,-,-,2.030523548,1.967303133,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp100_mnt100_mnv100,syntraces_Itr100.csv,0.0178,0.5272,0.0544,-,0.427393333,0.385533333,0.534933333,-,0.128856667,0.115033333,0.1945,-,-,-,-,-,1.856204419,1.855831204,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp200_mnt100_mnv100,syntraces_Itr100.csv,0.016,0.5115,0.023,-,0.42736,0.385533333,0.534933333,-,0.128603333,0.115033333,0.1945,-,-,-,-,-,1.832608532,1.832516882,0.589243225,0.62669924,6.267082755,6.255796163
PPMTF_TK_alp1000_mnt100_mnv100,syntraces_Itr100.csv,0.0148,0.5199,0.0398,-,0.432286667,0.385533333,0.534933333,-,0.129993333,0.115033333,0.1945,-,-,-,-,-,1.649527459,1.702682676,0.589243225,0.62669924,6.267082755,6.255796163
